Book_ID,Title,Author
101,Python Basics,John Smith
102,Data Structures,Alice Brown
103,Machine Learning,David Lee
104,Computer Networks,Andrew Tanenbaum
105,Operating Systems,William Stallings
106,Database Systems,Elmasri
107,Web Development,Jon Duckett
108,Java Programming,Herbert Schildt
109,C Programming,Dennis Ritchie
110,C++ Fundamentals,Bjarne Stroustrup
111,Artificial Intelligence,Stuart Russell
112,Cyber Security,Charles Brooks
113,Cloud Computing,Rajkumar Buyya
114,Software Engineering,Ian Sommerville
115,Data Science,Joel Grus
116,Algorithms,Robert Sedgewick
117,Linux Essentials,Jason Cannon
118,Git and GitHub,Scott Chacon
119,Computer Graphics,Donald Hearn
120,Mobile App Development,Jakob Iversen
121,Computer Organization,Carl Hamacher
122,Theory of Computation,Michael Sipser
123,Discrete Mathematics,Kenneth Rosen
124,Python for Data Analysis,Wes McKinney
125,Introduction to Algorithms,Thomas H. Cormen
126,Deep Learning,Ian Goodfellow
127,Clean Code,Robert C. Martin
128,The Pragmatic Programmer,Andrew Hunt
129,Computer Architecture,David Patterson
130,Networking Essentials,Jeff Doyle